TradeID,Ticker,Direction,Secteur,Region,EntryDate,CloseDate,EntryPrice,ClosePrice,PnL_EUR,PnL_PCT,NbShares,CapitalApres,Score,Conviction,CloseReason,DaysHeld,Semaine,Mois,Win
34705460,WMT,LONG,retail,USA,2026-03-17,2026-03-17,126.14,125.30000305175781,-99.12,-0.67,118,99900.88,0.6105,8,,0,2026-W11,2026-03,0
91589471,NOVN.SW,LONG,pharma,Europe,2026-03-17,2026-03-17,121.74,121.77999877929688,4.92,0.03,123,99905.8,0.5412,8,,0,2026-W11,2026-03,1
55671795,XOM,LONG,energy,USA,2026-03-17,2026-03-17,160.3,159.61500549316406,-63.7,-0.43,93,99842.1,0.498,7,,0,2026-W11,2026-03,0
20242366,PFE,LONG,pharma,USA,2026-03-17,2026-03-17,27.14,27.165000915527344,13.8,0.09,552,99855.9,0.4162,7,,0,2026-W11,2026-03,1
35801831,COST,LONG,retail,USA,2026-03-17,2026-03-17,1005.19,1000.6500244140625,-63.56,-0.45,14,99792.34,0.413,7,,0,2026-W11,2026-03,0
19241061,NOVN.SW,LONG,pharma,Europe,2026-03-17,2026-03-17,121.78,121.77999877929688,0,-0.0,123,99792.34,0.5412,8,,0,2026-W11,2026-03,0
39245957,COST,LONG,retail,USA,2026-03-17,2026-03-17,1000.55,998.4400024414062,-29.54,-0.21,14,99762.8,0.4416,7,,0,2026-W11,2026-03,0
25173343,WMT,LONG,retail,USA,2026-03-17,2026-03-17,125.32,124.88500213623047,-51.76,-0.35,119,99711.04,0.6105,8,,0,2026-W11,2026-03,0
16103891,XOM,LONG,energy,USA,2026-03-17,2026-03-17,159.62,158.89010620117188,-67.88,-0.46,93,99643.16,0.498,7,,0,2026-W11,2026-03,0
55526068,WMT,LONG,N/A,N/A,2026-03-17,2026-03-18,125.31,125.08000183105469,-27.37,-0.18,119,99615.79,0.6105,8,?,1,2026-W11,2026-03,0
47286653,XOM,LONG,N/A,N/A,2026-03-17,2026-03-18,159.64,158.80999755859375,-77.19,-0.52,93,99538.6,0.498,7,?,1,2026-W11,2026-03,0
56720032,COST,LONG,N/A,N/A,2026-03-17,2026-03-18,1000.87,996.1599731445312,-65.94,-0.47,14,99472.66,0.4416,7,?,1,2026-W11,2026-03,0
79118855,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,57.76,58.380001068115234,455.08,1.07,734,99927.74,0.6687,8,,0,2026-W11,2026-03,1
13271018,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,58.38,58.060001373291016,-232.32,-0.55,726,99695.42,0.5972,8,,0,2026-W11,2026-03,0
58550944,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,58.06,58.41999816894531,262.44,0.62,729,99957.86,0.6687,8,,0,2026-W11,2026-03,1
31137003,IBE.MC,LONG,utilities,Europe,2026-03-20,2026-03-20,19.61,19.665000915527344,118.53,0.28,2155,100076.39,0.5979,8,,0,2026-W11,2026-03,1
60531582,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,58.42,58.380001068115234,-28.92,-0.07,723,100047.47,0.5972,8,,0,2026-W11,2026-03,0
72986810,IBE.MC,LONG,utilities,Europe,2026-03-20,2026-03-20,19.67,19.65999984741211,-21.5,-0.05,2150,100025.97,0.5979,8,,0,2026-W11,2026-03,0
73330734,IBE.MC,LONG,utilities,Europe,2026-03-20,2026-03-20,19.66,19.485000610351562,-376.25,-0.89,2150,99649.72,0.5979,8,,0,2026-W11,2026-03,0
76768144,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,58.38,57.599998474121094,-564.72,-1.34,724,99085.0,0.5972,8,,0,2026-W11,2026-03,0
38266469,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,57.6,55.900001525878906,-1247.8,-2.95,734,97837.2,0.7401,9,,0,2026-W11,2026-03,0
32155431,RWE.DE,LONG,utilities,Europe,2026-03-20,2026-03-20,55.9,56.2400016784668,247.86,0.61,729,98085.06,0.7758,9,,0,2026-W11,2026-03,1
92584699,LRCX,LONG,tech,USA,2026-03-20,2026-03-21,226.12,228.36000061035156,311.36,0.99,139,98396.42,0.6741,8,,1,2026-W11,2026-03,1
51520961,ROST,LONG,consumer,USA,2026-03-20,2026-03-21,208.32,211.19000244140625,582.61,1.38,203,98979.03,0.6257,8,,1,2026-W11,2026-03,1
59846062,MU,LONG,tech,USA,2026-03-20,2026-03-21,431.52,422.8999938964844,-543.06,-2.0,63,98435.97,0.6091,8,,1,2026-W11,2026-03,0
93808442,KLAC,LONG,tech,USA,2026-03-20,2026-03-21,1480.91,1498.6700439453125,372.96,1.2,21,98808.93,0.6077,8,,1,2026-W11,2026-03,1
46331105,RWE.DE,LONG,utilities,Europe,2026-03-24,2026-03-24,54.94,54.939998626708984,0,-0.0,152,98808.93,0.8243,9,CLOSED_UNKNOWN,0,2026-W12,2026-03,0
28211456,RWE.DE,LONG,utilities,Europe,2026-03-24,2026-03-24,54.94,55.34000015258789,60.8,0.73,152,98869.73,0.8243,9,CLOSED_UNKNOWN,0,2026-W12,2026-03,1
77713631,RWE.DE,LONG,utilities,Europe,2026-03-24,2026-03-24,55.34,55.08000183105469,-39.0,-0.47,150,98830.73,0.6815,8,CLOSED_UNKNOWN,0,2026-W12,2026-03,0
18472319,RWE.DE,LONG,utilities,Europe,2026-03-24,2026-03-24,54.96,55.15999984741211,30.0,0.36,150,98860.73,0.6698,8,CLOSED_UNKNOWN,0,2026-W12,2026-03,1
